role,name,team
student,DANamic,CS2103T-W13-4
student,gruntultra,CS2103T-W13-4
student,artlee06,CS2103T-W16-1
student,BransonNg,CS2103T-W16-1
student,FyonnOh,CS2103T-W16-1
student,Hardoh,CS2103T-W16-1
student,Permas-Teo,CS2103T-W16-1
student,alloystory,CS2103T-W16-2
student,gb3h,CS2103T-W16-2
student,jiachen247,CS2103T-W16-2
student,Guofeng-Tang,CS2103T-W16-2
student,chishanw,CS2103T-W16-2
student,gx-huang,CS2103T-W16-3
student,souwmyaa,CS2103T-W16-3
student,teikjun,CS2103T-W16-3
student,aegis-bot,CS2103T-W16-3
student,wyt-sonia,CS2103T-W16-3
student,watsheldon,CS2103T-W16-4
student,Kangwkk,CS2103T-W16-4
student,mpang45456,CS2103T-W16-4
student,xuanxinng,CS2103T-W16-4
student,zhouxinwei97,CS2103T-W16-4
student,amrl,CS2103T-W17-1
student,kschiew,CS2103T-W17-1
student,ncslzh,CS2103T-W17-1
student,oLiXino,CS2103T-W17-1
student,lacedaemon98,CS2103T-W17-1
student,firzanarmani,CS2103T-W17-2
student,HemanshuGandhi,CS2103T-W17-2
student,johannagwan,CS2103T-W17-2
student,kevinputera,CS2103T-W17-2
student,ljiazh3ng,CS2103T-W17-2
student,Deunitato,CS2103T-W17-3
student,zenatrick,CS2103T-W17-3
student,joshlay96,CS2103T-W17-3
student,loycatherine,CS2103T-W17-3
student,jwee97,CS2103T-W17-3
student,aakanksha-rai,CS2103T-W17-4
student,chuayijing,CS2103T-W17-4
student,fatin99,CS2103T-W17-4
student,PotatoCombat,CS2103T-W17-4
student,eclmist,CS2103T-W17-4
